Registrant ID,Registrant Name,candidate_match_name,candidate_id,entityId,reportId1
00106552,Cory for Senate,Cory Tomczyk,c-tomczyk1,16821,135119
00106542,Alex for Wisconsin,Alex Joers,a-joers1,16808,135281
00106541,Friends of Jenna S Jacobson,Jenna Jacobson,j-jacobson1,16793,136372
00106532,Lots of People Supporting Mike Bare,Mike Bare,m-bare1,16787,135908
00106528,Binsfeld for Senate,Amy Binsfeld,a-binsfeld1,30955,135586
00106525,Friends of Dave Maxey,Dave Maxey,d-maxey1,664296,135915
00106522,Nichols For Assembly,Becky Nichols,b-nichols1,11682588,135888
00106516,Green for Assembly,Chanz Green,c-green1,16734,135715
00106496,Palmeri for Assembly,Lori Palmeri,l-palmeri1,15530,135115
00106494,Neighbors for Nate Gustafson,Nate Gustafson,n-gustafson1,30951,136271
00106491,Gillian Battino for Wisconsin,Gillian Battino,g-battino1,2985283,135929
00106489,Friends of Joy Goeben,Joy Goeben,j-goeben1,663797,135730
00106479,Karen Hurd for State Assembly,Karen Hurd,k-hurd1,17168,136140
00106464,Ellen Schutt for State Senate,Ellen Schutt,e-schutt1,15958,136407
00106461,Will Martin for Lt. Governor,Will Martin,w-martin1,7006028,136329
00106441,Cindy Werner for Secretary of State,Cindy Werner,c-werner1,7077460,136277
00106426,Varnam for Wisconsin,David Varnam,d-varnam1,1015379,136136
00106424,Angelito for Assembly,Angelito Tenorio,a-tenorio1,1147110,136111
00106412,Penterman for Assembly,William Penterman,w-penterman1,16045,135097
00106408,Toney for Attorney General,Eric Toney,e-toney1,16017,135868
00106406,Pollnow for Wisconsin,Nate Pollnow,n-pollnow1,8310806,135341
00106393,Citizens for Elijah Behnke,Elijah Behnke,e-behnke1,664423,135461
00106331,Deacon For Assembly,Alciro Deacon,a-deacon1,7620630,136092
00106320,jayforwisconsin,Jay Schroeder,j-schroeder1,8310899,136165
00106285,Friends of Francesca Hong,Francesca Hong,f-hong1,1145867,136290
00106265,2020 22 24 Senate Paul Michael Weber,Paul Michael Weber,p-weber1,11587338,
00106263,Sara Rodriguez For Wisconsin,Sara Rodriguez,s-rodriguez1,16403,136413
